Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpRangeMinutes,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
2,184.94,2.46587,1.14058,0.40981,5.15591,4.2739,75,-0.9992,-207,-207.00,25,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
5,-128.65,-1.83786,0.90684,-0.20835,-3.48601,6.1012,70,-1.0073,-291,-291.44,40,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
4,260.71,3.52311,1.21486,0.46037,6.60451,5.5763,74,-0.9999,-290,-290.13,35,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
7,-238.41,-3.84532,0.82316,-0.44375,-5.00000,5.3567,62,-0.9906,-282,-281.93,50,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
6,-199.75,-3.22177,0.84724,-0.40233,-5.00000,4.9496,62,-1.0000,-278,-277.81,45,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
0,-339.05,-4.29177,0.81722,-0.52693,-5.00000,6.3000,79,-1.0459,-292,-304.58,15,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
1,77.63,1.00818,1.04801,0.12577,1.95945,5.9836,77,-1.0217,-291,-290.60,20,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
3,22.88,0.29714,1.01548,0.04040,0.57538,5.5769,77,-0.9905,-290,-290.13,30,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
8,-211.56,-3.25477,0.84322,-0.43274,-5.00000,4.8727,65,-1.0040,-282,-281.93,55,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
9,-275.41,-4.44210,0.76607,-0.42171,-5.00000,6.4353,62,-0.9924,-194,-194.34,60,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
