Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpRangeMinutes,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
7,1165.77,9.71475,1.65518,3.12463,20.00822,3.3419,120,-1.0276,-315,-314.78,50,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
2,1098.30,7.95870,1.47607,1.92989,15.41786,5.1766,138,-1.1017,-414,-413.51,25,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
4,653.56,5.02738,1.27507,1.54579,9.48230,4.1794,130,-1.0157,-316,-316.19,35,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
0,1202.99,7.86268,1.41577,2.42680,16.90441,4.4649,153,-1.1123,-319,-318.74,15,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
1,1106.83,7.79458,1.44725,2.27766,16.04420,4.4147,142,-1.1028,-415,-414.85,20,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
3,879.33,6.76408,1.35984,2.24325,12.44987,3.5511,130,-1.0029,-320,-320.19,30,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
5,561.70,4.52984,1.24688,1.37736,8.90051,3.7384,124,-1.0137,-316,-316.19,40,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
6,1188.38,10.33374,1.68023,4.34747,19.93873,2.4955,115,-1.0216,-216,-215.68,45,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
8,512.11,4.49219,1.27269,1.11739,9.09625,4.1821,114,-1.0221,-313,-313.49,55,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
9,289.25,2.65367,1.16677,0.75657,5.93949,3.7888,109,-1.0437,-213,-212.87,60,14,30,17,30,1,1,0,2,0,16385,60,1000,0,120,1,0,0,0,400,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,770202,0,1
