Finestra,Simbolo,DataOra,Close
SOLARE,EURUSD,2025.01.06 00:00,1.03002
SOLARE,EURUSD,2025.01.06 01:00,1.03052
SOLARE,EURUSD,2025.01.06 02:00,1.03030
SOLARE,EURUSD,2025.01.06 03:00,1.03123
SOLARE,EURUSD,2025.01.06 04:00,1.03161
SOLARE,EURUSD,2025.01.06 05:00,1.03164
SOLARE,EURUSD,2025.01.06 06:00,1.03153
SOLARE,EURUSD,2025.01.06 07:00,1.03089
SOLARE,EURUSD,2025.01.06 08:00,1.03127
SOLARE,EURUSD,2025.01.06 09:00,1.03274
SOLARE,EURUSD,2025.01.06 10:00,1.03502
SOLARE,EURUSD,2025.01.06 11:00,1.03556
SOLARE,EURUSD,2025.01.06 12:00,1.03351
SOLARE,EURUSD,2025.01.06 13:00,1.04218
SOLARE,EURUSD,2025.01.06 14:00,1.04108
SOLARE,EURUSD,2025.01.06 15:00,1.04170
SOLARE,EURUSD,2025.01.06 16:00,1.03925
SOLARE,EURUSD,2025.01.06 17:00,1.03936
SOLARE,EURUSD,2025.01.06 18:00,1.03969
SOLARE,EURUSD,2025.01.06 19:00,1.03874
SOLARE,EURUSD,2025.01.06 20:00,1.03818
SOLARE,EURUSD,2025.01.06 21:00,1.03884
SOLARE,EURUSD,2025.01.06 22:00,1.03879
SOLARE,EURUSD,2025.01.06 23:00,1.03896
SOLARE,EURUSD,2025.01.07 00:00,1.03895
SOLARE,EURUSD,2025.01.07 01:00,1.03833
SOLARE,EURUSD,2025.01.07 02:00,1.03844
SOLARE,EURUSD,2025.01.07 03:00,1.03812
SOLARE,EURUSD,2025.01.07 04:00,1.03823
SOLARE,EURUSD,2025.01.07 05:00,1.03929
SOLARE,EURUSD,2025.01.07 06:00,1.03918
SOLARE,EURUSD,2025.01.07 07:00,1.03967
SOLARE,EURUSD,2025.01.07 08:00,1.03975
SOLARE,EURUSD,2025.01.07 09:00,1.04147
SOLARE,EURUSD,2025.01.07 10:00,1.04250
SOLARE,EURUSD,2025.01.07 11:00,1.04276
SOLARE,EURUSD,2025.01.07 12:00,1.04280
SOLARE,EURUSD,2025.01.07 13:00,1.04135
SOLARE,EURUSD,2025.01.07 14:00,1.03894
SOLARE,EURUSD,2025.01.07 15:00,1.03965
SOLARE,EURUSD,2025.01.07 16:00,1.03929
SOLARE,EURUSD,2025.01.07 17:00,1.03726
SOLARE,EURUSD,2025.01.07 18:00,1.03683
SOLARE,EURUSD,2025.01.07 19:00,1.03671
SOLARE,EURUSD,2025.01.07 20:00,1.03545
SOLARE,EURUSD,2025.01.07 21:00,1.03552
SOLARE,EURUSD,2025.01.07 22:00,1.03444
SOLARE,EURUSD,2025.01.07 23:00,1.03400
SOLARE,EURUSD,2025.01.08 00:00,1.03418
SOLARE,EURUSD,2025.01.08 01:00,1.03415
SOLARE,EURUSD,2025.01.08 02:00,1.03467
SOLARE,EURUSD,2025.01.08 03:00,1.03530
SOLARE,EURUSD,2025.01.08 04:00,1.03542
SOLARE,EURUSD,2025.01.08 05:00,1.03478
SOLARE,EURUSD,2025.01.08 06:00,1.03513
SOLARE,EURUSD,2025.01.08 07:00,1.03550
SOLARE,EURUSD,2025.01.08 08:00,1.03515
SOLARE,EURUSD,2025.01.08 09:00,1.03326
SOLARE,EURUSD,2025.01.08 10:00,1.03188
SOLARE,EURUSD,2025.01.08 11:00,1.03196
SOLARE,EURUSD,2025.01.08 12:00,1.03192
SOLARE,EURUSD,2025.01.08 13:00,1.02979
SOLARE,EURUSD,2025.01.08 14:00,1.02828
SOLARE,EURUSD,2025.01.08 15:00,1.03035
SOLARE,EURUSD,2025.01.08 16:00,1.02916
SOLARE,EURUSD,2025.01.08 17:00,1.03017
SOLARE,EURUSD,2025.01.08 18:00,1.03126
SOLARE,EURUSD,2025.01.08 19:00,1.03055
SOLARE,EURUSD,2025.01.08 20:00,1.03125
SOLARE,EURUSD,2025.01.08 21:00,1.03090
SOLARE,EURUSD,2025.01.08 22:00,1.03162
SOLARE,EURUSD,2025.01.08 23:00,1.03192
SOLARE,EURUSD,2025.01.09 00:00,1.03178
SOLARE,EURUSD,2025.01.09 01:00,1.03133
SOLARE,EURUSD,2025.01.09 02:00,1.03131
SOLARE,EURUSD,2025.01.09 03:00,1.03144
SOLARE,EURUSD,2025.01.09 04:00,1.03166
SOLARE,EURUSD,2025.01.09 05:00,1.03111
SOLARE,EURUSD,2025.01.09 06:00,1.03092
SOLARE,EURUSD,2025.01.09 07:00,1.03067
SOLARE,EURUSD,2025.01.09 08:00,1.03001
SOLARE,EURUSD,2025.01.09 09:00,1.02911
SOLARE,EURUSD,2025.01.09 10:00,1.03077
SOLARE,EURUSD,2025.01.09 11:00,1.03059
SOLARE,EURUSD,2025.01.09 12:00,1.03031
SOLARE,EURUSD,2025.01.09 13:00,1.03012
SOLARE,EURUSD,2025.01.09 14:00,1.03034
SOLARE,EURUSD,2025.01.09 15:00,1.03080
SOLARE,EURUSD,2025.01.09 16:00,1.03075
SOLARE,EURUSD,2025.01.09 17:00,1.02993
SOLARE,EURUSD,2025.01.09 18:00,1.02973
SOLARE,EURUSD,2025.01.09 19:00,1.02974
SOLARE,EURUSD,2025.01.09 20:00,1.03002
SOLARE,EURUSD,2025.01.09 21:00,1.02980
SOLARE,EURUSD,2025.01.09 22:00,1.03012
SOLARE,EURUSD,2025.01.09 23:00,1.02998
SOLARE,EURUSD,2025.01.10 00:00,1.03002
SOLARE,EURUSD,2025.01.10 01:00,1.02965
SOLARE,EURUSD,2025.01.10 02:00,1.02955
SOLARE,EURUSD,2025.01.10 03:00,1.03020
SOLARE,EURUSD,2025.01.10 04:00,1.03018
SOLARE,EURUSD,2025.01.10 05:00,1.02986
SOLARE,EURUSD,2025.01.10 06:00,1.02951
SOLARE,EURUSD,2025.01.10 07:00,1.02858
SOLARE,EURUSD,2025.01.10 08:00,1.02819
SOLARE,EURUSD,2025.01.10 09:00,1.02972
SOLARE,EURUSD,2025.01.10 10:00,1.03028
SOLARE,EURUSD,2025.01.10 11:00,1.03000
SOLARE,EURUSD,2025.01.10 12:00,1.03023
SOLARE,EURUSD,2025.01.10 13:00,1.03018
SOLARE,EURUSD,2025.01.10 14:00,1.03056
SOLARE,EURUSD,2025.01.10 15:00,1.02564
