[SERVER]
Campo,Valore
Broker,Pepperstone Limited
Server,PepperstoneUK-Demo
Conto,62128200
TipoConto,DEMO
Valuta,EUR
OraServer,2026.08.15 13:19:45
OraUltimoTick,2026.08.15 16:11:01
OraGMT,2026.08.15 13:19:45
OraLocalePC,2026.08.15 15:19:45
OffsetServerGMT_min,0
OffsetServerGMT_ore,0.00
OffsetServerGMT_hhmm,+00:00
OraLegalePC,SI
MercatoAperto,NO
SimboliBroker,1722
SimboliMarketWatch,120
TF_Misurato,H1
Filtro,
MisuratoIl,2026.08.15
[SIMBOLI]
Simbolo,Descrizione,Digits,Point,ContractSize,TickValue,TickSize,SpreadPt,TF,BarreTF,PrimaDataTF,BarreD1,PrimaDataD1,Stato
EURUSD,Euro vs US Dollar,5,0.00001000,100000.00,0.00000,0.00001000,4,H1,22524,2023.01.02,939,2023.01.02,COMPLETO
GBPUSD,Great Britain Pound vs US Dollar,5,0.00001000,100000.00,0.00000,0.00001000,3,H1,22524,2023.01.02,939,2023.01.02,COMPLETO
USDJPY,US Dollar vs Japanese Yen,3,0.00100000,100000.00,0.00000,0.00100000,7,H1,22524,2023.01.02,939,2023.01.02,COMPLETO
USDCAD,US Dollar vs Canadian Dollar,5,0.00001000,100000.00,0.00000,0.00001000,4,H1,3864,2026.01.02,161,2026.01.02,COMPLETO
AUDUSD,Australian Dollar vs US Dollar,5,0.00001000,100000.00,0.00000,0.00001000,3,H1,6716,2025.07.17,280,2025.07.17,COMPLETO
EURGBP,Euro vs Great Britain Pound,5,0.00001000,100000.00,0.00000,0.00001000,3,H1,4364,2025.12.02,182,2025.12.02,COMPLETO
US30,US Wall Street 30 Index,1,0.10000000,1.00,0.00000,0.10000000,20,H1,0,-,0,-,da svegliare (server non ha ancora risposto)
[SESSIONI]
Simbolo,Data,PrimaBarra,UltimaBarra,NBarre,TF,Nota
EURUSD,2024.01.15,-,-,0,M5,da scaricare / nessun dato
EURUSD,2024.03.20,00:00,23:55,288,M5,giorno spostato di +1 (festivo/weekend)
EURUSD,2024.04.15,00:00,23:55,288,M5,ok
EURUSD,2024.07.15,00:00,23:55,288,M5,ok
EURUSD,2024.10.15,00:00,23:55,288,M5,ok
EURUSD,2024.10.28,00:00,23:55,288,M5,ok
EURUSD,2024.11.20,00:00,23:55,288,M5,ok
EURUSD,2025.01.15,00:00,23:55,288,M5,ok
EURUSD,2025.03.20,00:00,23:55,288,M5,ok
EURUSD,2025.04.15,00:00,23:55,288,M5,ok
EURUSD,2025.07.15,00:00,23:55,288,M5,ok
EURUSD,2025.10.15,00:00,23:55,288,M5,ok
EURUSD,2025.10.28,00:00,23:55,288,M5,ok
EURUSD,2025.11.20,00:00,23:55,288,M5,ok
EURUSD,2026.01.15,00:00,23:55,288,M5,ok
EURUSD,2026.03.20,00:00,23:50,287,M5,ok
EURUSD,2026.04.15,00:00,23:55,288,M5,ok
EURUSD,2026.07.15,00:00,23:55,288,M5,ok
EURUSD,VERDETTO_DST,00:00,00:00,0,M5,SERVER ALLINEATO AL DST DEL MERCATO
