close_time;symbol;magic;position_id;deal_type;volume;price;net_profit
2025.06.15 23:10:05;U30USD;772322;2;0;2.50;42046.00;1451.90
2025.06.16 13:22:46;U30USD;772322;4;1;6.20;42463.90;1509.96
2025.06.23 18:36:51;U30USD;772322;6;1;5.20;42479.90;1517.80
2025.07.14 06:52:02;U30USD;772322;9;1;2.70;44114.70;-1037.89
2025.07.15 20:00:00;U30USD;772322;11;1;2.80;44050.40;-1023.46
2025.07.18 07:52:01;U30USD;772322;13;0;1.60;44638.90;-1011.86
2025.07.28 07:07:01;U30USD;772322;16;1;3.10;45128.30;1500.40
2025.07.31 20:52:00;U30USD;772322;18;0;2.70;44079.00;1549.93
2025.08.22 15:36:48;U30USD;772322;22;1;2.80;45581.40;1511.11
2025.09.02 00:00:00;U30USD;772322;24;1;3.10;45516.60;157.24
2025.09.02 13:54:54;U30USD;772322;26;0;4.90;45093.70;1587.58
2025.09.25 13:47:24;U30USD;772322;29;1;2.70;45990.40;-1050.75
2025.10.03 15:36:01;U30USD;772322;31;1;3.40;46975.20;1589.58
2025.10.21 00:00:00;U30USD;772322;33;1;1.10;46743.40;201.04
2025.10.27 00:00:00;U30USD;772322;35;1;1.70;47496.30;1066.15
2025.10.29 14:45:15;U30USD;772322;37;1;4.50;48007.30;1611.16
2025.11.06 00:00:15;U30USD;772322;39;0;1.90;47337.10;177.37
2025.11.25 18:05:18;U30USD;772322;41;0;1.00;46929.40;-1044.39
2025.12.10 00:00:15;U30USD;772322;43;1;2.70;47551.10;-127.73
2025.12.18 00:00:15;U30USD;772322;45;1;1.60;47923.10;-371.40
2025.12.22 18:43:50;U30USD;772322;47;0;2.00;48441.30;-1084.93
2026.01.06 18:22:14;U30USD;772322;49;1;2.00;49347.10;1614.34
2026.01.13 14:31:38;U30USD;772322;51;0;1.70;49674.40;-1060.62
2026.01.21 00:00:15;U30USD;772322;53;0;1.80;48555.00;773.23
2026.01.29 00:00:15;U30USD;772322;55;1;1.20;48982.30;-327.25
2026.02.06 20:30:23;U30USD;772322;57;1;1.90;50019.30;1575.99
2026.02.18 16:01:58;U30USD;772322;59;0;3.50;49820.70;-1109.36
2026.02.23 16:05:19;U30USD;772322;61;1;2.00;49081.90;-1074.15
2026.03.16 00:00:00;U30USD;772322;66;1;0.70;46683.80;-732.70
2026.03.27 19:08:34;U30USD;772322;70;0;1.90;45242.50;1561.85
2026.05.07 00:00:00;U30USD;772322;73;1;0.90;49877.50;60.51
2026.05.11 19:03:36;U30USD;772322;76;1;7.20;49770.50;1638.17
2026.05.18 01:10:19;U30USD;772322;78;1;2.20;49247.50;-1102.09
2026.05.27 00:00:00;U30USD;772322;81;1;1.40;50475.50;484.98
2026.06.04 00:00:00;U30USD;772322;83;1;2.50;50767.50;-25.85
2026.06.12 10:35:06;U30USD;772322;85;0;1.80;51329.50;-1101.55
2026.06.22 14:31:24;U30USD;772322;88;1;5.60;51792.50;1650.14
2026.06.29 23:59:57;U30USD;0;90;0;1.30;52150.50;-407.36
