Data Ora;Impatto;Valuta;Titolo
2010.01.08 13:30;High;USD;Nonfarm Payrolls
2010.01.08 13:30;High;USD;Unemployment Rate
2010.01.14 13:30;High;EUR;ECB Press Conference
2010.02.04 13:30;High;EUR;ECB Press Conference
2010.02.05 13:30;High;USD;Nonfarm Payrolls
2010.02.05 13:30;High;USD;Unemployment Rate
2010.03.04 13:30;High;EUR;ECB Press Conference
2010.03.05 13:30;High;USD;Nonfarm Payrolls
2010.03.05 13:30;High;USD;Unemployment Rate
2010.04.02 12:30;High;USD;Nonfarm Payrolls
2010.04.02 12:30;High;USD;Unemployment Rate
2010.04.08 12:30;High;EUR;ECB Press Conference
2010.05.06 12:30;High;EUR;ECB Press Conference
2010.05.07 12:30;High;USD;Nonfarm Payrolls
2010.05.07 12:30;High;USD;Unemployment Rate
2010.06.04 12:30;High;USD;Nonfarm Payrolls
2010.06.04 12:30;High;USD;Unemployment Rate
2010.06.10 12:30;High;EUR;ECB Press Conference
2010.07.02 12:30;High;USD;Nonfarm Payrolls
2010.07.02 12:30;High;USD;Unemployment Rate
2010.07.08 12:30;High;EUR;ECB Press Conference
2010.08.05 12:30;High;EUR;ECB Press Conference
2010.08.06 12:30;High;USD;Nonfarm Payrolls
2010.08.06 12:30;High;USD;Unemployment Rate
2010.09.02 12:30;High;EUR;ECB Press Conference
2010.09.03 12:30;High;USD;Nonfarm Payrolls
2010.09.03 12:30;High;USD;Unemployment Rate
2010.10.07 12:30;High;EUR;ECB Press Conference
2010.10.08 12:30;High;USD;Nonfarm Payrolls
2010.10.08 12:30;High;USD;Unemployment Rate
2010.11.04 13:30;High;EUR;ECB Press Conference
2010.11.05 12:30;High;USD;Nonfarm Payrolls
2010.11.05 12:30;High;USD;Unemployment Rate
2010.12.02 13:30;High;EUR;ECB Press Conference
2010.12.03 13:30;High;USD;Nonfarm Payrolls
2010.12.03 13:30;High;USD;Unemployment Rate
2011.01.07 13:30;High;USD;Nonfarm Payrolls
2011.01.07 13:30;High;USD;Unemployment Rate
2011.01.13 13:30;High;EUR;ECB Press Conference
2011.02.03 13:30;High;EUR;ECB Press Conference
2011.02.04 13:30;High;USD;Nonfarm Payrolls
2011.02.04 13:30;High;USD;Unemployment Rate
2011.03.03 13:30;High;EUR;ECB Press Conference
2011.03.04 13:30;High;USD;Nonfarm Payrolls
2011.03.04 13:30;High;USD;Unemployment Rate
2011.04.01 12:30;High;USD;Nonfarm Payrolls
2011.04.01 12:30;High;USD;Unemployment Rate
2011.04.07 12:30;High;EUR;ECB Press Conference
2011.04.27 18:15;High;USD;FOMC Press Conference
2011.05.05 12:30;High;EUR;ECB Press Conference
2011.05.06 12:30;High;USD;Nonfarm Payrolls
2011.05.06 12:30;High;USD;Unemployment Rate
2011.06.03 12:30;High;USD;Nonfarm Payrolls
2011.06.03 12:30;High;USD;Unemployment Rate
2011.06.09 12:30;High;EUR;ECB Press Conference
2011.06.22 18:15;High;USD;FOMC Press Conference
2011.07.07 12:30;High;EUR;ECB Press Conference
2011.07.08 12:30;High;USD;Nonfarm Payrolls
2011.07.08 12:30;High;USD;Unemployment Rate
2011.08.04 12:30;High;EUR;ECB Press Conference
2011.08.05 12:30;High;USD;Nonfarm Payrolls
2011.08.05 12:30;High;USD;Unemployment Rate
2011.09.02 12:30;High;USD;Nonfarm Payrolls
2011.09.02 12:30;High;USD;Unemployment Rate
2011.09.08 12:30;High;EUR;ECB Press Conference
2011.10.06 12:30;High;EUR;ECB Press Conference
2011.10.07 12:30;High;USD;Nonfarm Payrolls
2011.10.07 12:30;High;USD;Unemployment Rate
2011.11.02 18:15;High;USD;FOMC Press Conference
2011.11.03 13:30;High;EUR;ECB Press Conference
2011.11.04 12:30;High;USD;Nonfarm Payrolls
2011.11.04 12:30;High;USD;Unemployment Rate
2011.12.02 13:30;High;USD;Nonfarm Payrolls
2011.12.02 13:30;High;USD;Unemployment Rate
2011.12.08 13:30;High;EUR;ECB Press Conference
2012.01.06 13:30;High;USD;Nonfarm Payrolls
2012.01.06 13:30;High;USD;Unemployment Rate
2012.01.12 13:30;High;EUR;ECB Press Conference
2012.01.25 19:15;High;USD;FOMC Press Conference
2012.02.03 13:30;High;USD;Nonfarm Payrolls
2012.02.03 13:30;High;USD;Unemployment Rate
2012.02.09 13:30;High;EUR;ECB Press Conference
2012.03.08 13:30;High;EUR;ECB Press Conference
2012.03.09 13:30;High;USD;Nonfarm Payrolls
2012.03.09 13:30;High;USD;Unemployment Rate
2012.04.04 12:30;High;EUR;ECB Press Conference
2012.04.06 12:30;High;USD;Nonfarm Payrolls
2012.04.06 12:30;High;USD;Unemployment Rate
2012.04.25 18:15;High;USD;FOMC Press Conference
2012.05.03 12:30;High;EUR;ECB Press Conference
2012.05.04 12:30;High;USD;Nonfarm Payrolls
2012.05.04 12:30;High;USD;Unemployment Rate
2012.06.01 12:30;High;USD;Nonfarm Payrolls
2012.06.01 12:30;High;USD;Unemployment Rate
2012.06.06 12:30;High;EUR;ECB Press Conference
2012.06.20 18:15;High;USD;FOMC Press Conference
2012.07.05 12:30;High;EUR;ECB Press Conference
2012.07.06 12:30;High;USD;Nonfarm Payrolls
2012.07.06 12:30;High;USD;Unemployment Rate
2012.08.02 12:30;High;EUR;ECB Press Conference
2012.08.03 12:30;High;USD;Nonfarm Payrolls
2012.08.03 12:30;High;USD;Unemployment Rate
2012.09.06 12:30;High;EUR;ECB Press Conference
2012.09.07 12:30;High;USD;Nonfarm Payrolls
2012.09.07 12:30;High;USD;Unemployment Rate
2012.09.13 18:15;High;USD;FOMC Press Conference
2012.10.04 12:30;High;EUR;ECB Press Conference
2012.10.05 12:30;High;USD;Nonfarm Payrolls
2012.10.05 12:30;High;USD;Unemployment Rate
2012.11.02 12:30;High;USD;Nonfarm Payrolls
2012.11.02 12:30;High;USD;Unemployment Rate
2012.11.08 13:30;High;EUR;ECB Press Conference
2012.12.06 13:30;High;EUR;ECB Press Conference
2012.12.07 13:30;High;USD;Nonfarm Payrolls
2012.12.07 13:30;High;USD;Unemployment Rate
2012.12.12 19:15;High;USD;FOMC Press Conference
2013.01.04 13:30;High;USD;Nonfarm Payrolls
2013.01.04 13:30;High;USD;Unemployment Rate
2013.01.10 13:30;High;EUR;ECB Press Conference
2013.02.01 13:30;High;USD;Nonfarm Payrolls
2013.02.01 13:30;High;USD;Unemployment Rate
2013.02.07 13:30;High;EUR;ECB Press Conference
2013.03.07 13:30;High;EUR;ECB Press Conference
2013.03.08 13:30;High;USD;Nonfarm Payrolls
2013.03.08 13:30;High;USD;Unemployment Rate
2013.03.20 18:30;High;USD;FOMC Press Conference
2013.04.04 12:30;High;EUR;ECB Press Conference
2013.04.05 12:30;High;USD;Nonfarm Payrolls
2013.04.05 12:30;High;USD;Unemployment Rate
2013.05.02 12:30;High;EUR;ECB Press Conference
2013.05.03 12:30;High;USD;Nonfarm Payrolls
2013.05.03 12:30;High;USD;Unemployment Rate
2013.06.06 12:30;High;EUR;ECB Press Conference
2013.06.07 12:30;High;USD;Nonfarm Payrolls
2013.06.07 12:30;High;USD;Unemployment Rate
2013.06.19 18:30;High;USD;FOMC Press Conference
2013.07.04 12:30;High;EUR;ECB Press Conference
2013.07.05 12:30;High;USD;Nonfarm Payrolls
2013.07.05 12:30;High;USD;Unemployment Rate
2013.08.01 12:30;High;EUR;ECB Press Conference
2013.08.02 12:30;High;USD;Nonfarm Payrolls
2013.08.02 12:30;High;USD;Unemployment Rate
2013.09.05 12:30;High;EUR;ECB Press Conference
2013.09.06 12:30;High;USD;Nonfarm Payrolls
2013.09.06 12:30;High;USD;Unemployment Rate
2013.09.18 18:30;High;USD;FOMC Press Conference
2013.10.02 12:30;High;EUR;ECB Press Conference
2013.10.22 12:30;High;USD;Nonfarm Payrolls
2013.10.22 12:30;High;USD;Unemployment Rate
2013.11.07 13:30;High;EUR;ECB Press Conference
2013.11.08 13:30;High;USD;Nonfarm Payrolls
2013.11.08 13:30;High;USD;Unemployment Rate
2013.12.05 13:30;High;EUR;ECB Press Conference
2013.12.06 13:30;High;USD;Nonfarm Payrolls
2013.12.06 13:30;High;USD;Unemployment Rate
2013.12.18 19:30;High;USD;FOMC Press Conference
2014.01.09 13:30;High;EUR;ECB Press Conference
2014.01.10 13:30;High;USD;Nonfarm Payrolls
2014.01.10 13:30;High;USD;Unemployment Rate
2014.02.06 13:30;High;EUR;ECB Press Conference
2014.02.07 13:30;High;USD;Nonfarm Payrolls
2014.02.07 13:30;High;USD;Unemployment Rate
2014.03.06 13:30;High;EUR;ECB Press Conference
2014.03.07 13:30;High;USD;Nonfarm Payrolls
2014.03.07 13:30;High;USD;Unemployment Rate
2014.03.19 18:30;High;USD;FOMC Press Conference
2014.04.03 12:30;High;EUR;ECB Press Conference
2014.04.04 12:30;High;USD;Nonfarm Payrolls
2014.04.04 12:30;High;USD;Unemployment Rate
2014.05.02 12:30;High;USD;Nonfarm Payrolls
2014.05.02 12:30;High;USD;Unemployment Rate
2014.05.08 12:30;High;EUR;ECB Press Conference
2014.06.05 12:30;High;EUR;ECB Press Conference
2014.06.06 12:30;High;USD;Nonfarm Payrolls
2014.06.06 12:30;High;USD;Unemployment Rate
2014.06.18 18:30;High;USD;FOMC Press Conference
2014.07.03 12:30;High;EUR;ECB Press Conference
2014.07.03 12:30;High;USD;Nonfarm Payrolls
2014.07.03 12:30;High;USD;Unemployment Rate
2014.08.01 12:30;High;USD;Nonfarm Payrolls
2014.08.01 12:30;High;USD;Unemployment Rate
2014.08.07 12:30;High;EUR;ECB Press Conference
2014.09.04 12:30;High;EUR;ECB Press Conference
2014.09.05 12:30;High;USD;Nonfarm Payrolls
2014.09.05 12:30;High;USD;Unemployment Rate
2014.09.17 18:30;High;USD;FOMC Press Conference
2014.10.02 12:30;High;EUR;ECB Press Conference
2014.10.03 12:30;High;USD;Nonfarm Payrolls
2014.10.03 12:30;High;USD;Unemployment Rate
2014.11.06 13:30;High;EUR;ECB Press Conference
2014.11.07 13:30;High;USD;Nonfarm Payrolls
2014.11.07 13:30;High;USD;Unemployment Rate
2014.12.04 13:30;High;EUR;ECB Press Conference
2014.12.05 13:30;High;USD;Nonfarm Payrolls
2014.12.05 13:30;High;USD;Unemployment Rate
2014.12.17 19:30;High;USD;FOMC Press Conference
2015.01.09 13:30;High;USD;Nonfarm Payrolls
2015.01.09 13:30;High;USD;Unemployment Rate
2015.01.22 13:30;High;EUR;ECB Press Conference
2015.02.06 13:30;High;USD;Nonfarm Payrolls
2015.02.06 13:30;High;USD;Unemployment Rate
2015.03.05 13:30;High;EUR;ECB Press Conference
2015.03.06 13:30;High;USD;Nonfarm Payrolls
2015.03.06 13:30;High;USD;Unemployment Rate
2015.03.18 18:30;High;USD;FOMC Press Conference
