Data Ora;Impatto;Valuta;Titolo
2010.01.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.01.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2010.01.20 13:30;High;USD;USD1330OKF PPI m/m
2010.01.29 13:30;High;USD;USD1330OKR Advance GDP q/q
2010.02.12 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.02.12 13:30;High;USD;USD1330OKF Retail Sales m/m
2010.02.18 13:30;High;USD;USD1330OKF PPI m/m
2010.03.12 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.03.12 13:30;High;USD;USD1330OKF Retail Sales m/m
2010.03.17 12:30;High;USD;USD1330DSTF PPI m/m
2010.04.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.04.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2010.04.22 12:30;High;USD;USD1330OKF PPI m/m
2010.04.30 12:30;High;USD;USD1330OKR Advance GDP q/q
2010.05.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.05.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2010.05.18 12:30;High;USD;USD1330OKF PPI m/m
2010.05.19 12:30;High;USD;USD1330OKF CPI m/m
2010.06.11 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.06.11 12:30;High;USD;USD1330OKF Retail Sales m/m
2010.06.16 12:30;High;USD;USD1330OKF PPI m/m
2010.07.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.07.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2010.07.15 12:30;High;USD;USD1330OKF PPI m/m
2010.07.30 12:30;High;USD;USD1330OKR Advance GDP q/q
2010.08.13 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.08.13 12:30;High;USD;USD1330OKF Retail Sales m/m
2010.08.17 12:30;High;USD;USD1330OKF PPI m/m
2010.09.14 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.09.14 12:30;High;USD;USD1330OKF Retail Sales m/m
2010.09.16 12:30;High;USD;USD1330OKF PPI m/m
2010.10.14 12:30;High;USD;USD1330OKF PPI m/m
2010.10.15 12:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.10.15 12:30;High;USD;USD1330OKF Retail Sales m/m
2010.10.29 12:30;High;USD;USD1330OKR Advance GDP q/q
2010.11.15 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.11.15 13:30;High;USD;USD1330OKF Retail Sales m/m
2010.11.16 13:30;High;USD;USD1330OKF PPI m/m
2010.12.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2010.12.14 13:30;High;USD;USD1330OKF PPI m/m
2010.12.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2011.01.13 13:30;High;USD;USD1330OKF PPI m/m
2011.01.14 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2011.01.14 13:30;High;USD;USD1330OKF Retail Sales m/m
2011.01.28 13:30;High;USD;USD1330OKR Advance GDP q/q
2011.02.15 13:30;High;USD;USD1330OKF Core Retail Sales m/m
2011.02.15 13:30;High;USD;USD1330OKF Retail Sales m/m
2011.02.16 13:30;High;USD;USD1330OKF PPI m/m
