ea,sym,tf,daq,lab,nis,pfis,ddis,noos,pfoos,ddoos,tot,nmin,manca,causa,ncelle
IntradayMomentum,NASUSD,M30,2024.09.26,r141a,146.0,0.60887,7.7625,261.0,1.24334,3.03,407.0,146.0,0,TAGLIO IS/OOS (totale>=300),2
ORB_Ottimizzato,NASUSD,M5,2024.09.26,r13,137.0,0.79551,12.8621,221.0,1.1114,5.4338,358.0,137.0,0,TAGLIO IS/OOS (totale>=300),148
ORB_Ottimizzato,U30USD,M5,2024.09.26,r15,134.0,0.91184,7.0146,215.0,1.27623,7.3261,349.0,134.0,0,TAGLIO IS/OOS (totale>=300),215
SupertrendReversal_Multi_Ottimizzato,XAUUSD,?,?,(nolab),137.0,0.98421,9.9435,188.0,1.60349,9.1104,325.0,137.0,0,TAGLIO IS/OOS (totale>=300),16
SupRev_DOW_H1_Ottimizzato,U30USD,H1,?,R123CATRP,136.0,0.78128,9.1089,179.0,1.16409,6.7338,315.0,136.0,0,TAGLIO IS/OOS (totale>=300),38
SupRev_DOW_H4_Ottimizzato,U30USD,?,?,(nolab),132.0,0.74085,8.96,180.0,1.14873,6.7271,312.0,132.0,0,TAGLIO IS/OOS (totale>=300),11
SuperWave_DOW_H1_Ottimizzato,U30USD,H1,2024.09.26,r120e11,106.0,1.39744,3.4846,184.0,1.22034,4.2149,290.0,106.0,10.0,"TF ALTO (H1): si scende, se il costo passa",44
WOL,GBPUSD,?,?,(nolab),137.0,0.50702,1.6986,142.0,0.02129,3.2202,279.0,137.0,21.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
EMA200_Ottimizzato,XAUUSD,?,?,(nolab),88.0,0.57759,7.8023,167.0,1.26997,8.9587,255.0,88.0,45.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
SuperWave,SPXUSD,?,?,(nolab),97.0,0.64825,3.9569,145.0,0.69877,4.3053,242.0,97.0,58.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
MaxMinNotte,XAUUSD,M5,2025.03.01,r17,103.0,0.95114,6.0493,129.0,1.46126,5.6073,232.0,103.0,68.0,FINESTRA (il round parte DOPO il pavimento tick 2024.07.05),24
SuperWave,D30EUR,?,?,(nolab),80.0,0.54581,6.3496,149.0,0.8923,8.9328,229.0,80.0,71.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
SupertrendReversal_Ottimizzato,XAUUSD,?,?,(nolab),77.0,1.3163,4.2253,147.0,0.62761,10.0638,224.0,77.0,76.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
SupRev_DAX_H1_Ottimizzato,D30EUR,?,?,(nolab),67.0,0.72984,5.5321,156.0,1.86556,4.4742,223.0,67.0,77.0,TF [NON DETERMINATO] -- da leggere nel file prova,11
