"macchina";"terminale";"giorno";"ora_locale";"conto";"ticket";"evento";"tipo";"volume";"simbolo";"prezzo";"ordine_rif"
"VMI3047753";"215D85D7";"20260616";"05:41:39";"50503392";"2164844";"ESEGUITO";"buy";"0.5";"XAUUSD";"4327.98";"2433656"
"VMI3047753";"215D85D7";"20260616";"05:41:50";"50503392";"2164845";"ESEGUITO";"sell";"0.25";"XAUUSD";"4328.12";"2433657"
"VMI3047753";"215D85D7";"20260616";"05:43:22";"50503392";"2164869";"ESEGUITO";"sell";"0.25";"XAUUSD";"4330.92";"2433681"
"VMI3047753";"215D85D7";"20260616";"05:43:31";"50503392";"2164871";"ESEGUITO";"sell";"0.5";"XAUUSD";"4330.66";"2433683"
"VMI3047753";"215D85D7";"20260616";"05:43:40";"50503392";"2164872";"ESEGUITO";"buy";"0.25";"XAUUSD";"4330.00";"2433684"
"VMI3047753";"215D85D7";"20260616";"05:44:03";"50503392";"2164873";"ESEGUITO";"buy";"0.25";"XAUUSD";"4330.57";"2433685"
"VMI3047753";"215D85D7";"20260616";"05:44:19";"50503392";"2164874";"ESEGUITO";"buy";"0.5";"XAUUSD";"4330.73";"2433686"
"VMI3047753";"215D85D7";"20260616";"05:44:37";"50503392";"2164875";"ESEGUITO";"sell";"0.25";"XAUUSD";"4331.07";"2433687"
"VMI3047753";"215D85D7";"20260616";"05:45:16";"50503392";"2164881";"ESEGUITO";"sell";"0.25";"XAUUSD";"4331.15";"2433693"
"VMI3047753";"215D85D7";"20260616";"05:45:17";"50503392";"2164882";"ESEGUITO";"sell";"0.5";"XAUUSD";"4331.00";"2433694"
"VMI3047753";"215D85D7";"20260616";"05:45:27";"50503392";"2164886";"ESEGUITO";"buy";"0.25";"XAUUSD";"4330.65";"2433698"
"VMI3047753";"215D85D7";"20260616";"05:45:50";"50503392";"2164931";"ESEGUITO";"buy";"0.25";"XAUUSD";"4330.94";"2433743"
"VMI3047753";"215D85D7";"20260616";"05:47:03";"50503392";"2164935";"ESEGUITO";"buy";"0.5";"XAUUSD";"4333.05";"2433747"
